Province,District,Municipality
Madhesh Province,Sarlahi,Bisnu Rural Municipality
Madhesh Province,Sarlahi,Brahampuri Rural Municipality
Madhesh Province,Sarlahi,Chakraghatta Rural Municipality
Madhesh Province,Sarlahi,Chandranagar Rural Municipality
Madhesh Province,Sarlahi,Dhankaul Rural Municipality
Madhesh Province,Sarlahi,Kaudena Rural Municipality
Madhesh Province,Sarlahi,Parsa Rural Municipality
Madhesh Province,Sarlahi,Ramnagar Rural Municipality
Madhesh Province,Siraha,Lahan Municipality
Madhesh Province,Siraha,Dhangadhimai Municipality
Madhesh Province,Siraha,Siraha Municipality
Madhesh Province,Siraha,Golbazar Municipality
Madhesh Province,Siraha,Mirchaiya Municipality
Madhesh Province,Siraha,Kalyanpur Municipality
Madhesh Province,Siraha,Karjanha Municipality
Madhesh Province,Siraha,Sukhipur Municipality
Madhesh Province,Siraha,Bhagwanpur Rural Municipality
Madhesh Province,Siraha,Aurahi Rural Municipality
Madhesh Province,Siraha,Bishnupur Rural Municipality
Madhesh Province,Siraha,Bariyarpatti Rural Municipality
Madhesh Province,Siraha,Lakshmipur Patari Rural Municipality
Madhesh Province,Siraha,Naraha Rural Municipality
Madhesh Province,Siraha,SakhuwanankarKatti Rural Municipality
Madhesh Province,Siraha,Arnama Rural Municipality
Madhesh Province,Siraha,Navarajpur Rural Municipality
Madhesh Province,Dhanusha,Janakpurdham Sub-Metropolitan City
Madhesh Province,Dhanusha,Chhireshwarnath Municipality
Madhesh Province,Dhanusha,Ganeshman Charnath Municipality
Madhesh Province,Dhanusha,Dhanushadham Municipality
Madhesh Province,Dhanusha,Nagarain Municipality
Madhesh Province,Dhanusha,Bideha Municipality
Madhesh Province,Dhanusha,Mithila Municipality
Madhesh Province,Dhanusha,Sahidnagar Municipality
Madhesh Province,Dhanusha,Sabaila Municipality
Madhesh Province,Dhanusha,Kamala Municipality
Madhesh Province,Dhanusha,MithilaBihari Municipality
Madhesh Province,Dhanusha,Hansapur Municipality
Madhesh Province,Dhanusha,Janaknandani Rural Municipality
Madhesh Province,Dhanusha,Bateshwar Rural Municipality
Madhesh Province,Dhanusha,Mukhiyapatti Musharniya Rural Municipality
Madhesh Province,Dhanusha,Lakshminya Rural Municipality
Madhesh Province,Dhanusha,Aaurahi Rural Municipality
Madhesh Province,Dhanusha,Dhanauji Rural Municipality
Madhesh Province,Saptari,Bodebarsain Municipality
Madhesh Province,Saptari,Dakneshwori Municipality
Madhesh Province,Saptari,Hanumannagar Kankalini Municipality
Madhesh Province,Saptari,Kanchanrup Municipality
Madhesh Province,Saptari,Khadak Municipality
Madhesh Province,Saptari,Shambhunath Municipality
Madhesh Province,Saptari,Saptakoshi Municipality
Madhesh Province,Saptari,Surunga Municipality
Madhesh Province,Saptari,Rajbiraj Municipality
Madhesh Province,Saptari,Agnisaira Krishnasavaran Rural Municipality
Madhesh Province,Saptari,Balan-Bihul Rural Municipality
Madhesh Province,Saptari,Rajgadh Rural Municipality
Madhesh Province,Saptari,Bishnupur Rural Municipality
Madhesh Province,Saptari,Chhinnamasta Rural Municipality
Madhesh Province,Saptari,Mahadeva Rural Municipality
Madhesh Province,Saptari,Rupani Rural Municipality
